lemma,bridge_rank,pos,,
ius,210,Noun,,
maternus,2361,Adjective,,
satago,13204,Verb,,
adiuvo,1144,Verb,,
vir,71,Noun,,
baptizo,5675,Verb,,
laxo,2319,Verb,,
lorum,2914,Noun,,
undique,795,Adverb,,
vulnero,1817,Verb,,
sano,2706,Verb,,
quanto,5531,Adverb,,
cito,1140,Adverb,,
diligentia,1386,Noun,,
tutus,587,Adjective,,
tutela,2418,Noun,,
quot,1156,Pronoun,,
quantus,176,Adjective,,
fluctus,908,Noun,,
impendo,2537,Verb,,
temptatio,11106,Noun,,
effigies,2343,Noun,,
committo,603,Verb,,
adulescentia,2387,Noun,,
urgeo,1302,Verb,,
odi,1008,Verb,,
invitus,834,Adjective,,
refero,200,Verb,,
satio,2219,Verb,,
insatiabilis,6216,Adjective,,
cupiditas,892,Noun,,
copiosus,2706,Adjective,,
inopia,1724,Noun,,
ignominiosus,8902,Adjective,,
gloria,327,Noun,,
numero,1011,Verb,,
capillus,998,Noun,,
error,1072,Noun,,
insto,1164,Verb,,
poena,367,Noun,,
plecto,6740,Verb,,
indignus,1115,Adjective,,
peccator,9184,Noun,,
retribuo,14166,Verb,,
inordinatus,11106,Adjective,,
cur,254,Adverb,,
graecus,497,Adjective,,
puerulus,8659,Noun,,
imbuo,2537,Verb,,
exploro,1981,Verb,,
adamo,6740,Verb,,
latinus,1129,Adjective,,
primus,129,Number,,
grammaticus,5231,Noun,,
onerosus,6312,Adjective,,
poenalis,12372,Adjective,,
vanitas,5102,Noun,,
spiritus,739,Noun,,
ambulo,1542,Verb,,
reverto,1629,Verb,,
aeneas,764,Noun,,
dido,2537,Noun,,
occido,535,Verb,,
interea,872,Adverb,,
siccus,1626,Adjective,,
lumen,442,Noun,,
panis,1771,Noun,,
marito,8216,Verb,,
sinus,795,Noun,,
cogitatio,1499,Noun,,
fornicor,11106,Verb,,
euge,6216,Interjection,,
amicitia,506,Noun,,
mundus,649,Noun,,
fornicatio,8902,Noun,,
pudeo,1227,Verb,,
exstinguo,1108,Verb,,
ferrum,418,Noun,,
extremus,1351,Adjective,,
sequor,143,Verb,,
condo,625,Verb,,
relinquo,160,Verb,,
eo,121,Verb,,
prohibeo,714,Verb,,
dementia,3656,Noun,,
honestus,373,Adjective,,
uber,3176,Adjective,,
puto,102,Verb,,
prorsus,1981,Adverb,,
paratus,5850,Adjective,,
at,94,Conjunction,,
velum,1232,Noun,,
limen,912,Noun,,
grammaticus,8216,Adjective,,
secretum,1855,Noun,,
tegimentum,7620,Noun,,
significo,2173,Verb,,
timeo,243,Verb,,
dum,116,Conjunction,,
reprehensio,6619,Noun,,
