lemma,bridge_rank,pos,,
imbecillis,3336,Adjective,,
indignatio,4016,Noun,,
arretium,9796,Noun,,
inquiro,3422,Verb,,
successus,4537,Noun,,
praeproperus,13204,Adjective,,
flaminius,6216,Noun,,
perpopulor,14166,Verb,,
veii,8017,Noun,,
c,3308,Noun,,
obtorpesco,10611,Verb,,
ferocia,5038,Noun,,
cortona,15606,Noun,,
trasumenus,9796,Noun,,
pervasto,13204,Verb,,
cortonensis,15606,Adjective,,
sido,7285,Verb,,
patesco,6116,Verb,,
baliaris,15606,Adjective,,
inexploratus,13204,Adjective,,
dissonus,6116,Adjective,,
imploratio,13204,Noun,,
ferme,2731,Adverb,,
competo,6312,Verb,,
adhortator,14166,Noun,,
hastatus,10611,Adjective,,
triarii,11694,Noun,,
antesignanus,9485,Noun,,
conglobo,7620,Verb,,
insuber,11106,Noun,,
ducarius,15606,Noun,,
peremptor,11694,Noun,,
calcar,5593,Noun,,
obtrunco,5231,Verb,,
armiger,4639,Noun,,
lancea,4585,Noun,,
immergo,7285,Verb,,
inconsultus,5038,Adjective,,
capesso,2650,Verb,,
quodammodo,4696,Adverb,,
dispello,7620,Verb,,
abripio,4286,Verb,,
maharbal,15606,Noun,,
segrego,7010,Verb,,
cumulus,4537,Noun,,
repo,6740,Verb,,
pomponius,5379,Noun,,
opperior,3055,Verb,,
sciscitor,5458,Verb,,
triste,4286,Adverb,,
quonam,6216,Adverb,,
hamilcar,9796,Noun,,
karthaginiensis,3133,Adjective,,
augustus,2676,Adjective,,
e,2927,Idiom,,
exordium,4455,Noun,,
obtrectatio,10611,Noun,,
incrementum,4201,Noun,,
rhea,8902,Noun,,
vestalis,10193,Adjective,,
indigeo,3254,Verb,,
palatinus,5038,Adjective,,
philippus,1873,Noun,,
maius,7285,Adjective,,
olympias,14166,Noun,,
excidium,4696,Noun,,
arruns,8216,Noun,,
publicola,11106,Noun,,
pulvillus,13204,Noun,,
valerius,8659,Adjective,,
collatinus,6882,Adjective,,
tuscia,12372,Noun,,
porsenna,5593,Noun,,
tusculum,10193,Noun,,
nummus,2537,Noun,,
obsequor,3558,Verb,,
octavianus,8216,Adjective,,
larcius,10611,Noun,,
cassius,11106,Adjective,,
saguntum,10193,Noun,,
foederatus,5850,Adjective,,
volscus,4981,Adjective,,
corioli,12372,Noun,,
marcius,10193,Adjective,,
q,6032,Noun,,
alpicus,20965,Noun,,
veturia,15606,Noun,,
volumnia,12372,Noun,,
clastidium,20965,Noun,,
virginius,4918,Noun,,
veiens,10193,Adjective,,
longus,13204,Noun,,
trebia,13204,Noun,,
consero,4286,Verb,,
centenius,20965,Noun,,
colo,8421,Verb,,
cincinnatus,12372,Adjective,,
praetextus,15606,Noun,,
geminus,9485,Noun,,
capua,3720,Noun,,
falernus,6116,Noun,,
fidenae,10193,Noun,,
dispalor,17604,Verb,,
tolumnius,10611,Noun,,
ambo,7620,Noun,,
repentino,13204,Adverb,,
mamercus,8017,Noun,,
visus,2480,Noun,,
aemilius,7620,Adjective,,
rebello,6216,Verb,,
fidenatis,11106,Adjective,,
lucanus,6116,Noun,,
quinquie(n)s,8421,Number,,
venusia,10611,Noun,,
enumero,4488,Verb,,
caeninesis,15606,Adjective,,
antemnatis,17604,Adjective,,
crustuminus,17604,Adjective,,
cannensis,10611,Adjective,,
compareo,5758,Verb,,
veientanus,14166,Adjective,,
impraesentiarum,8017,Adverb,,
zama,8902,Noun,,
falisci,7827,Adjective,,
hadrumetum,7129,Noun,,
numidia,4325,Noun,,
allia,10193,Noun,,
setius,15606,Adverb,,
numa,3336,Noun,,
pompilius,13204,Adjective,,
fregellae,20965,Noun,,
semibarbarus,17604,Adjective,,
supputatio,15606,Noun,,
mago,10611,Noun,,
hostilius,8659,Adjective,,
ico,3983,Verb,,
amplio,7620,Verb,,
aventinus,10193,Adjective,,
ianiculum,7620,Noun,,
incoho,3176,Verb,,
territorium,10611,Noun,,
cyrenaeus,10611,Adjective,,
quirinalis,8421,Adjective,,
viminalis,14166,Adjective,,
esquilinus,8902,Adjective,,
naufragium,3366,Noun,,
servulus,4585,Noun,,
campania,3625,Noun,,
suessa,10611,Noun,,
ardea,14166,Noun,,
rhodius,4405,Adjective,,
pamphylius,15606,Adjective,,
cretensis,6740,Adjective,,
iunius,11106,Noun,,
propatulum,10611,Noun,,
inludo,3679,Verb,,
prusias,10193,Noun,,
pontus,3558,Noun,,
pergamenus,6882,Adjective,,
eumenes,8421,Noun,,
administratio,6312,Noun,,
constantius,8216,Noun,,
diocletianus,6312,Noun,,
galerius,9796,Noun,,
eboracum,15606,Noun,,
utrobique,11694,Adverb,,
praestans,2882,Adjective,,
venerabilis,3336,Adjective,,
provincialis,4814,Noun,,
fiscus,4639,Noun,,
adfecto,4016,Verb,,
fictilis,5231,Adjective,,
numerosus,4242,Adjective,,
epulor,4488,Verb,,
classiarius,9796,Adjective,,
ostiatim,12372,Adverb,,
suspectus,11106,Noun,,
maximianus,10193,Noun,,
sanguinarius,12372,Adjective,,
singara,20965,Noun,,
tabellarius,6312,Noun,,
caduceus,17604,Noun,,
grandaevus,6619,Adjective,,
praeceps,10193,Noun,,
vetranio,17604,Noun,,
magnentius,14166,Noun,,
nepotianus,20965,Noun,,
constantinus,7285,Noun,,
magnentianus,20965,Adjective,,
potissimum,3889,Adverb,,
securitas,2787,Noun,,
lugudunum,6740,Noun,,
mursa,17604,Noun,,
decentius,20965,Noun,,
quinctius,8421,Noun,,
flamininus,8017,Noun,,
tyrannis,9796,Noun,,
silvanus,17604,Adjective,,
incivilis,15606,Adjective,,
iulianus,7827,Adjective,,
argentoratum,20965,Noun,,
alamannus,12372,Adjective,,
patruelis,12372,Noun,,
adversum,2377,Noun,,
germanicianus,17604,Adjective,,
parthicus,7010,Adjective,,
cilicia,3755,Noun,,
cappadocia,5458,Noun,,
locupletator,20965,Noun,,
inhonorus,15606,Adjective,,
propensus,6740,Adjective,,
perfungor,5946,Verb,,
atticus,4585,Noun,,
labeo,7827,Noun,,
polybius,11694,Noun,,
baebius,7010,Noun,,
tamphilus,15606,Noun,,
blitho,20965,Noun,,
assyria,12372,Noun,,
distringo,4537,Verb,,
volso,20965,Noun,,
remeo,3625,Verb,,
apprime,15606,Adverb,,
eruditus,3422,Adjective,,
eruditio,5038,Noun,,
sosylus,17604,Noun,,
promptus,4814,Noun,,
repressor,17604,Noun,,
christianus,3176,Adjective,,
insectator,20965,Noun,,
antoninus,6619,Noun,,
iovianus,17604,Noun,,
domesticus,9796,Noun,,
caudium,15606,Noun,,
pontius,8421,Noun,,
telesinus,10611,Noun,,
penitus,10193,Adjective,,
samnites,6882,Noun,,
numantinus,7620,Adjective,,
galatia,12372,Noun,,
cruditas,10611,Noun,,
tectorium,11106,Noun,,
calx,4696,Noun,,
nimietas,10193,Noun,,
pruna,9796,Noun,,
varronianus,20965,Noun,,
civilitas,9184,Noun,,
inclutus,2863,Adjective,,
moratus,7827,Adjective,,
arrigo,4455,Verb,,
resumo,4160,Verb,,
moderator,8216,Noun,,
excieo,20965,Verb,,
maxentius,12372,Noun,,
herculius,10193,Noun,,
nuncupo,3755,Verb,,
exoptatus,17604,Adjective,,
lucania,10611,Noun,,
severus,5294,Noun,,
maximinus,13204,Noun,,
praetorianus,5458,Adjective,,
ravenna,8017,Noun,,
detego,3962,Verb,,
francus,6032,Adjective,,
fausta,17604,Noun,,
proclivis,5379,Adjective,,
dacia,8421,Noun,,
oriundus,10193,Adjective,,
narseus,12372,Noun,,
licinius,7010,Adjective,,
tarsus,7620,Noun,,
praevenio,4585,Verb,,
macedonia,2430,Noun,,
cibalae,20965,Noun,,
dardania,9485,Noun,,
moesia,5379,Noun,,
pannonia,6512,Noun,,
reconcilio,6312,Verb,,
terrestris,4869,Adjective,,
nicomedia,9796,Noun,,
thessalonica,11106,Noun,,
ctesiphon,13204,Noun,,
insolentia,4325,Noun,,
aliquantum,9184,Adverb,,
favorabilis,8659,Adjective,,
docilitas,15606,Noun,,
innumerus,2976,Adjective,,
claresco,6116,Verb,,
posterior,7827,Adjective,,
gothus,14166,Adjective,,
appetens,20965,Adjective,,
affectator,17604,Noun,,
cometes,17604,Noun,,
mesopotamia,6512,Noun,,
superfluus,15606,Adjective,,
crinitus,7129,Adjective,,
successor,3983,Noun,,
dalmatius,20965,Noun,,
improsper,10611,Adjective,,
intolerabilis,5593,Adjective,,
iniucundus,11694,Adjective,,
sutrini,20965,Noun,,
aequus,11106,Adjective,,
cn,6116,Noun,,
cornelius,6740,Adjective,,
dolabella,2590,Noun,,
tarentinus,7620,Adjective,,
epiros,6740,Noun,,
laevinus,8902,Noun,,
lucanus,8421,Adjective,,
cineas,13204,Noun,,
bruttiuus,8659,Adjective,,
spolium,1732,Noun,,
remando,20965,Verb,,
decii,5170,Noun,,
mus,4054,Noun,,
sicilia,953,Noun,,
dentatus,14166,Noun,,
canina,20965,Noun,,
ptolemaeus,3917,Noun,,
ogulnius,20965,Noun,,
picens,12372,Adjective,,
ariminum,8017,Noun,,
beneventanus,15606,Adjective,,
samnium,17604,Noun,,
regulus,6512,Noun,,
atilius,5294,Noun,,
salapinus,17604,Adjective,,
brundisinus,9485,Adjective,,
hiero,7827,Noun,,
otacilius,9184,Noun,,
crassus,2274,Adjective,,
syracusanus,4869,Adjective,,
catinensis,10611,Adjective,,
tauromenitani,20965,Noun,,
secundo,11694,Number,,
praenestinus,8659,Adjective,,
asina,17604,Noun,,
rostratus,11694,Adjective,,
liburnus,9485,Adjective,,
scipio,4371,Noun,,
duilius,17604,Noun,,
corsica,10193,Noun,,
florus,9485,Noun,,
vulso,20965,Noun,,
manlius,9796,Adjective,,
clypea,20965,Noun,,
xanthippus,14166,Noun,,
paulus,5946,Adjective,,
nobilior,17604,Noun,,
pugnator,13204,Noun,,
infringo,3819,Verb,,
victrix,3819,Noun,,
servilius,9485,Adjective,,
caepio,5758,Noun,,
blaesus,9184,Adjective,,
caecilius,8902,Adjective,,
erro,12372,Noun,,
pompa,2640,Noun,,
permutatio,11694,Noun,,
litus,12372,Noun,,
a,11106,Noun,,
albinus,5379,Noun,,
infinitum,12372,Adverb,,
lutatius,12372,Noun,,
lilybaeum,6512,Noun,,
medietas,8659,Noun,,
aliquantus,6312,Adjective,,
praesumo,4325,Verb,,
genucius,20965,Noun,,
torquatus,13204,Adjective,,
anio,15606,Noun,,
provoco,2961,Verb,,
aureus,6312,Noun,,
cognomen,3009,Noun,,
tiro,4455,Noun,,
armatus,11694,Noun,,
verbero,8902,Noun,,
rectum,3679,Noun,,
corvinus,17604,Adjective,,
alexander,799,Noun,,
perdomo,5850,Verb,,
picenum,6414,Noun,,
papirius,11694,Adjective,,
cursor,6512,Noun,,
censor,2471,Noun,,
rufinus,4092,Noun,,
veturius,14166,Noun,,
modius,2882,Noun,,
triticum,3679,Noun,,
exhibeo,2328,Verb,,
contradico,11106,Verb,,
terentius,14166,Adjective,,
varro,4696,Noun,,
manumitto,5850,Verb,,
impatiens,3477,Adjective,,
impatientia,8421,Noun,,
cannae,9796,Noun,,
saucio,6512,Verb,,
nola,11694,Noun,,
sardus,10611,Adjective,,
agrigentum,8421,Noun,,
hanno,12372,Noun,,
carthalo,17604,Noun,,
livius,15606,Adjective,,
salinator,10193,Noun,,
sena,17604,Noun,,
sardinienses,15606,Adjective,,
syphax,9485,Noun,,
pondo,4639,Noun,,
libra,3983,Noun,,
masinissa,7010,Noun,,
prandium,3536,Noun,,
supellex,3983,Noun,,
bulcus,20965,Noun,,
centumalus,15606,Noun,,
perimo,2400,Verb,,
mediolanum,8902,Noun,,
istrus,15606,Adjective,,
saguntinus,10611,Adjective,,
rufus,8216,Adjective,,
invius,4696,Adjective,,
flaminius,7129,Adjective,,
macedonicus,8216,Adjective,,
manilius,17604,Adjective,,
famea,17604,Noun,,
reverentia,2695,Noun,,
paratus,6032,Noun,,
divisor,8659,Noun,,
pseudophilippus,11694,Noun,,
iuventius,17604,Adjective,,
corinthius,5758,Adjective,,
mummius,8902,Noun,,
andriscus,20965,Noun,,
pictus,5379,Adjective,,
pseudoperses,20965,Noun,,
pompeius,4092,Adjective,,
viriathus,17604,Noun,,
lusitania,5850,Noun,,
interfector,5758,Noun,,
mancinus,9485,Noun,,
subiugo,10193,Verb,,
d,3819,Noun,,
callaecus,12372,Adjective,,
lusitanus,6216,Adjective,,
armenes,20965,Noun,,
demetrius,5038,Noun,,
nabis,17604,Noun,,
aristonicus,9485,Noun,,
concubina,10193,Noun,,
nicomedes,11694,Noun,,
mithridates,2771,Noun,,
ariaratus,17604,Noun,,
cappadox,6116,Adjective,,
pylaemenes,14166,Noun,,
paphlago,17604,Noun,,
perperna,11106,Noun,,
stratonice,20965,Noun,,
strangulo,7285,Verb,,
longinus,7129,Noun,,
calvinus,17604,Noun,,
bituitus,17604,Noun,,
porcius,7452,Adjective,,
mucius,15606,Adjective,,
scaevola,5170,Noun,,
dalmatia,8216,Noun,,
scordisci,15606,Noun,,
nasica,8017,Noun,,
adherbal,6312,Noun,,
calpurnius,11694,Noun,,
bestia,7452,Noun,,
hiempsal,7452,Noun,,
micipsa,8216,Noun,,
improbo,3625,Verb,,
moderatio,2914,Noun,,
bocchus,4981,Noun,,
mauretania,6882,Noun,,
silanus,10611,Noun,,
triballus,15606,Adjective,,
cateno,8902,Verb,,
acilius,14166,Adjective,,
glabrio,8421,Noun,,
achaia,3755,Noun,,
laelius,3366,Noun,,
sipylus,10611,Noun,,
magnesia,14166,Noun,,
eumenia,20965,Noun,,
concitator,10611,Noun,,
imitatio,5038,Noun,,
asiagenes,20965,Noun,,
aetolus,6512,Adjective,,
tremellius,17604,Noun,,
libyssa,20965,Noun,,
nicomedensis,8421,Adjective,,
gentius,12372,Noun,,
cotys,7452,Noun,,
anicius,11694,Noun,,
september,12372,Noun,,
absto,11106,Verb,,
tugurini,20965,Noun,,
ambrones,20965,Noun,,
iugurthinus,11106,Adjective,,
teutobodus,20965,Noun,,
protraho,6216,Verb,,
assero,5170,Verb,,
rutilius,20965,Adjective,,
vettius,5850,Noun,,
hierius,20965,Noun,,
herennius,14166,Noun,,
cluentius,4016,Noun,,
mithridaticus,8216,Adjective,,
socialis,7010,Adjective,,
reliquiae,2676,Noun,,
armenia,3176,Noun,,
ariobarzanes,7285,Noun,,
paphlagonia,9184,Noun,,
aristo,15606,Noun,,
atheniensis,3336,Adjective,,
archelaus,7620,Noun,,
palus,8017,Noun,,
dardani,17604,Noun,,
dalmatae,11694,Noun,,
maedi,20965,Noun,,
proscribo,3558,Verb,,
norbanus,3219,Noun,,
lamponius,20965,Noun,,
carinas,20965,Noun,,
marianus,12372,Adjective,,
collinus,17604,Adjective,,
hierda,20965,Noun,,
italicus,10611,Adjective,,
aedilicius,13204,Noun,,
pamphylia,7620,Noun,,
hirtuleius,13204,Noun,,
pius,8659,Noun,,
lucullus,3081,Noun,,
bessus,12372,Adjective,,
callatis,20965,Noun,,
uscudama,20965,Noun,,
cabyle –es,20965,Noun,,
apollonia,7827,Noun,,
tomi,17604,Noun,,
parthenopolis,20965,Noun,,
burziaone,20965,Noun,,
ptolemais,17604,Noun,,
appion,20965,Noun,,
berenice,13204,Noun,,
cyrene,11694,Noun,,
pirata,3308,Noun,,
infesto,7285,Verb,,
tigranes,6116,Noun,,
pharnaces,5946,Noun,,
artaxata,10193,Noun,,
sophanene,20965,Noun,,
phoenice,9485,Noun,,
orodes,9485,Noun,,
deiotarus,4488,Noun,,
artaces,20965,Noun,,
ituraeus,10611,Adjective,,
seleucia,10193,Noun,,
antiochia,7129,Noun,,
daphnenses,20965,Noun,,
spatiosus,4286,Adjective,,
amoenitas,5038,Noun,,
iudaea,5379,Noun,,
hierosolyma,6882,Noun,,
iudaeus,2463,Adjective,,
antiochensis,12372,Adjective,,
antonius,8421,Adjective,,
sergius,15606,Adjective,,
murena,15606,Noun,,
creta,6619,Noun,,
piraticus,8659,Adjective,,
aristobulus,15606,Noun,,
bibulus,7010,Adjective,,
carrhae,17604,Noun,,
surena,15606,Noun,,
euphrates,3455,Noun,,
lacrimabilis,9485,Adjective,,
dubietas,17604,Noun,,
scribonius,11106,Noun,,
curio,14166,Noun,,
afranius,4242,Noun,,
palaeopharsalus,20965,Noun,,
petreius,5593,Noun,,
tutor,3917,Noun,,
cleopatra,5379,Noun,,
varus,10193,Adjective,,
munda,11694,Noun,,
tyrannicus,10193,Adjective,,
casca,15606,Noun,,
confodio,4757,Verb,,
phaselis,15606,Noun,,
corycus,17604,Adjective,,
isaurus,14166,Adjective,,
isauricus,17604,Noun,,
cosconius,10611,Noun,,
salonae,11694,Noun,,
isauria,13204,Noun,,
chalcedon,11694,Noun,,
cyzicus,10611,Noun,,
byzantium,9184,Noun,,
constantinopolis,11694,Noun,,
consobrina,13204,Noun,,
effringo,6216,Verb,,
crixus,20965,Noun,,
oenomaus,14166,Noun,,
aufidius,8902,Noun,,
orestes,4488,Noun,,
amisus,15606,Noun,,
cyzicenus,11694,Adjective,,
sinope,11106,Noun,,
cabira,20965,Noun,,
tigranocerta,10611,Noun,,
arzanena,20965,Noun,,
clibanarius,20965,Noun,,
armeniacus,20965,Adjective,,
nisibis,14166,Noun,,
percussor,5102,Noun,,
pansa,4405,Noun,,
hirtius,15606,Adjective,,
caesarea,14166,Noun,,
palaestina,12372,Noun,,
adoptio,4757,Noun,,
socordia,6032,Noun,,
blanditia,3203,Noun,,
mazaca,17604,Noun,,
cognomentum,6216,Noun,,
caligula,12372,Noun,,
suevia,15606,Noun,,
mogontiacum,9184,Noun,,
moderatus,2787,Adjective,,
sentius,8902,Noun,,
orcas,14166,Noun,,
plautius,15606,Adjective,,
deformo,12372,Verb,,
rete,3336,Noun,,
piscor,7620,Verb,,
blattinus,20965,Adjective,,
citharoedicus,17604,Adjective,,
tragicus,4981,Adjective,,
polemoniacus,20965,Adjective,,
polemo(n),11106,Noun,,
cottius,11106,Noun,,
cottius,17604,Adjective,,
exsecrabilis,10193,Adjective,,
furca,7620,Noun,,
alexandrianus,20965,Adjective,,
salarius,11694,Adjective,,
nomentanus,9796,Adjective,,
suburbanum,8421,Noun,,
thermae,4405,Noun,,
neronianus,10611,Adjective,,
frequenter,3203,Adverb,,
bedriacum,8659,Noun,,
met,4918,Pronoun,,
vitellius,1156,Noun,,
honoro,4869,Verb,,
ordinarius,9796,Adjective,,
notabilis,4371,Adjective,,
ingluvies,9796,Noun,,
exsequiae,4639,Noun,,
vespasianus,2010,Noun,,
sabinus,13204,Noun,,
voracitas,13204,Noun,,
stercus,4371,Noun,,
vecta,20965,Noun,,
provisio,15606,Noun,,
samos,6216,Noun,,
commagene,20965,Noun,,
adopto,3366,Verb,,
offensa,4537,Noun,,
causidicus,4639,Noun,,
coercitor,20965,Noun,,
profluvium,13204,Noun,,
genitura,13204,Noun,,
dissimulatio,5850,Noun,,
graece,8659,Adverb,,
familiaritas,2976,Noun,,
dēdicātiō,6414,Noun,,
congero,2577,Verb,,
domitianus,10193,Adjective,,
aboleo,4325,Verb,,
sarmata,4488,Noun,,
catti,17604,Noun,,
sarmatia,17604,Noun,,
oppius,15606,Adjective,,
fuscus,4696,Adjective,,
praetorium,4054,Noun,,
transitorius,20965,Adjective,,
iseum,15606,Noun,,
serapium,20965,Noun,,
exosus,7827,Adjective,,
vespillo,10611,Noun,,
anthemusia,20965,Noun,,
perusia,15606,Noun,,
ventidius,9184,Noun,,
actium,11106,Noun,,
aspis,11694,Noun,,
atella,14166,Noun,,
immerito,5231,Adverb,,
albis,8659,Noun,,
cantabria,20965,Noun,,
r(h)aetia,9184,Noun,,
salassi,20965,Noun,,
panticapaeum,20965,Noun,,
barbaricus,5379,Adjective,,
pannonicus,20965,Adjective,,
exitiabilis,8216,Adjective,,
nerva,4757,Noun,,
secundus,3455,Noun,,
parthenius,14166,Adjective,,
traianus,8017,Adjective,,
vetus,10193,Adjective,,
altinum,12372,Noun,,
galeria,15606,Noun,,
faustina,20965,Noun,,
apoplexis,20965,Noun,,
patro,4757,Verb,,
stoicus,3108,Adjective,,
apollonius,2048,Noun,,
chalcedonius,15606,Adjective,,
chaeronensis,20965,Adjective,,
fronto,7010,Noun,,
effero,6882,Verb,,
marcomannicus,17604,Adjective,,
plutarchus,13204,Noun,,
carnuntum,20965,Noun,,
iugis,8902,Adjective,,
vandalus,20965,Adjective,,
quadus,11106,Adjective,,
commodus,15606,Noun,,
pannonius,6740,Adjective,,
crystallinus,9796,Adjective,,
venditio,7129,Noun,,
murrinus,8902,Adjective,,
vas,7827,Noun,,
editio,7620,Noun,,
adnitor,5294,Verb,,
obscenitas,14166,Noun,,
exsecratio,9184,Noun,,
salvius,9184,Noun,,
leptis,8902,Noun,,
pescennius,20965,Noun,,
adiabenicus,20965,Noun,,
arabicus,11106,Adjective,,
adiabenus,10611,Adjective,,
tripolitanus,20965,Adjective,,
bassanius,14166,Noun,,
ulpius,12372,Adjective,,
crinitus,20965,Noun,,
agrippina,1124,Noun,,
merito,13204,Verb,,
decibalus,14166,Noun,,
victoali,20965,Noun,,
taifali,20965,Noun,,
italica,17604,Noun,,
tervingi,20965,Noun,,
caracalla,15606,Noun,,
antoninianus,20965,Adjective,,
iulia,4405,Noun,,
osdroena,20965,Noun,,
edessa,12372,Noun,,
opilius,20965,Noun,,
macrinus,11106,Noun,,
diadumenus,20965,Noun,,
heliogabalus,20965,Noun,,
symiasera,20965,Noun,,
gloriosus,2609,Adjective,,
exauctoro,11106,Verb,,
assessor,17604,Noun,,
ulpianus,20965,Noun,,
xerxes,6740,Noun,,
mamaea,20965,Noun,,
parthomasiris,20965,Noun,,
sauromatae,17604,Noun,,
bosporanus,12372,Adjective,,
osdroeni,20965,Noun,,
cardueni,20965,Noun,,
marcomedi,20965,Noun,,
persis,6032,Adjective,,
babylon,5850,Noun,,
messenius,13204,Adjective,,
madena,20965,Noun,,
arabia,6882,Noun,,
aequalis,14166,Noun,,
indiscretus,8902,Adjective,,
veneratio,4696,Noun,,
vicissim,3308,Adverb,,
as–sentor,8902,Verb,,
aelius,9184,Adjective,,
plotina,14166,Noun,,
boionius,20965,Noun,,
lorium,20965,Noun,,
solentinus,20965,Noun,,
pupienus,15606,Noun,,
tetricus,5850,Adjective,,
burdigala,17604,Noun,,
odenathus,14166,Noun,,
gallienus,14166,Noun,,
valerianus,14166,Adjective,,
quintillus,15606,Noun,,
aurelianus,13204,Noun,,
ripensis,20965,Adjective,,
catalauni,20965,Noun,,
vergilianus,15606,Adjective,,
receptor,15606,Noun,,
zenobia,14166,Noun,,
corrector,10193,Noun,,
monetarius,20965,Noun,,
felicissimus,20965,Noun,,
rationalis,4639,Adjective,,
vitio,4639,Verb,,
annoto,4639,Verb,,
heraclea,11694,Noun,,
strata,20965,Noun,,
caenophrurium,20965,Noun,,
florianus,20965,Noun,,
probus,10193,Noun,,
proculus,6216,Noun,,
bonosus,20965,Noun,,
alma,20965,Noun,,
sirmium,17604,Noun,,
carinus,15606,Noun,,
numerianus,13204,Noun,,
coche,20965,Noun,,
lecticula,14166,Noun,,
impulsor,10193,Noun,,
fetor,9485,Noun,,
putor,12372,Noun,,
anullinus,20965,Noun,,
innoxius,3679,Adjective,,
condiscipulus,7285,Noun,,
auditorium,5038,Noun,,
fatigatio,8902,Noun,,
taxo,9485,Verb,,
tranquillina,20965,Noun,,
ianus,15606,Noun,,
balbinus,14166,Noun,,
gordianus,12372,Noun,,
proconsulatus,8659,Noun,,
circesium,20965,Noun,,
amandus,20965,Noun,,
margum,20965,Noun,,
rusticanus,8421,Adjective,,
detestatio,13204,Noun,,
viminacium,20965,Noun,,
bacaudae,20965,Noun,,
aelianus,15606,Adjective,,
re–formo,7010,Verb,,
carausius,15606,Noun,,
armoricum,20965,Noun,,
bononia,11694,Noun,,
belgica,13204,Noun,,
achilleus,12372,Adjective,,
quinquegentiani,17604,Noun,,
serdica,20965,Noun,,
privigna,17604,Noun,,
theodora,20965,Noun,,
valeria,15606,Noun,,
allectus,20965,Noun,,
asclepiodotus,15606,Noun,,
ingruo,5038,Verb,,
insecundus,20965,Adjective,,
callinicum,20965,Noun,,
purpuro,13204,Verb,,
hormisda,20965,Noun,,
extrinsecus,4325,Adverb,,
ovo,3917,Verb,,
carpi,20965,Noun,,
bastarnae,11694,Noun,,
adoro,2361,Verb,,
calceamentum,11106,Noun,,
indo,2676,Verb,,
chlamys,5946,Noun,,
propalam,8216,Adverb,,
asperitas,5102,Noun,,
horror,3889,Noun,,
fericulum,4286,Noun,,
budalia,20965,Noun,,
hostilianus,20965,Noun,,
volusianus,20965,Noun,,
aemilianus,14166,Adjective,,
interamna,13204,Noun,,
aegritudo,5170,Noun,,
noricum,11694,Noun,,
infelicitas,7129,Noun,,
trebellianus,20965,Noun,,
lascivia,4092,Noun,,
habena,2650,Noun,,
tarraco,9485,Noun,,
laelianus,17604,Adjective,,
victorinus,20965,Noun,,
actuarius,15606,Noun,,
chaos,9796,Noun,,
indigestus,17604,Adjective,,
phoebe,4639,Noun,,
margo,4918,Noun,,
innabilis,20965,Adjective,,
umeo,6512,Verb,,
dissocio,8659,Verb,,
concors,5458,Adjective,,
convexus,7285,Adjective,,
circum–fluus,8659,Adjective,,
congeries,9184,Noun,,
glomero,5294,Verb,,
tumesco,5379,Verb,,
ambio,3755,Verb,,
sorbeo,5458,Verb,,
lapidosus,8421,Adjective,,
fabricator,12372,Noun,,
lanio,4016,Verb,,
discordia,1891,Noun,,
eurus,5102,Noun,,
nabathaeus,10611,Adjective,,
persis,13204,Noun,,
radius,2241,Noun,,
occiduus,6116,Adjective,,
tepesco,9485,Verb,,
scythia,6032,Noun,,
triones,8421,Noun,,
horrifer,11106,Adjective,,
madesco,10193,Verb,,
dissaepio,14166,Verb,,
effervesco,8017,Verb,,
agitabilis,17604,Adjective,,
satus,7620,Adjective,,
pluvialis,10193,Adjective,,
rastrum,10611,Noun,,
arbuteus,13204,Adjective,,
montanus,6032,Adjective,,
fraga,12372,Noun,,
cornum,9485,Noun,,
morum,10611,Noun,,
rubeta,17604,Noun,,
patulus,4325,Adjective,,
inaratus,14166,Adjective,,
stillo,5458,Verb,,
frutex,7129,Noun,,
cerealis,7285,Adjective,,
inritamentum,7285,Noun,,
utroque,6312,Adverb,,
crepito,5458,Verb,,
aconitum,10193,Noun,,
astraea,14166,Noun,,
ossa,6740,Noun,,
immadesco,17604,Verb,,
propago,6116,Noun,,
contemptrix,14166,Noun,,
violentus,2898,Adjective,,
saturnius,4092,Adjective,,
ingemo,4371,Verb,,
lacteus,6414,Adjective,,
candor,3983,Noun,,
valvae,6216,Noun,,
sceptrum,2196,Noun,,
terrificus,7620,Adjective,,
anguipes,20965,Adjective,,
circumsono,8659,Verb,,
immedicabilis,14166,Adjective,,
sincerus,3755,Adjective,,
semideus,12372,Adjective,,
monticola,20965,Noun,,
feritas,4120,Noun,,
lycaon,11106,Noun,,
caesareus,5531,Adjective,,
vindicta,3819,Noun,,
maenalus,9796,Adjective,,
cyllene,12372,Noun,,
pinetum,12372,Noun,,
lycaeus,9485,Adjective,,
arcas,4814,Adjective,,
inhospitus,11106,Adjective,,
crepusculum,9184,Noun,,
dubitabilis,20965,Adjective,,
necopinus,17604,Adjective,,
experientia,7285,Noun,,
molossus,10611,Adjective,,
seminex,9184,Adjective,,
fervens,13204,Adjective,,
exululo,11106,Verb,,
villus,6740,Noun,,
erinys,6619,Noun,,
adsensus,5038,Noun,,
ardesco,6032,Verb,,
fabricor,7827,Verb,,
madidus,2787,Adjective,,
piceus,7827,Adjective,,
roro,4869,Verb,,
nuntia,7285,Noun,,
iris,7285,Noun,,
hortamen,10611,Noun,,
relaxo,5758,Verb,,
defrenatus,20965,Adjective,,
tridens,7452,Adjective,,
intremo,9184,Verb,,
exspatior,13204,Verb,,
aduncus,5946,Adjective,,
